,prices_usd,market_caps,total_volumes,unix_timestamp
2021-06-07 07:15:03,8.479769230798307e-06,4225260319.047434,347974630.54733324,1623050103252
2021-06-07 07:19:32,8.470534201731838e-06,4225260319.047434,347741480.6747818,1623050372115
2021-06-07 07:24:58,8.476520842270908e-06,4215742377.5425544,348298954.0125515,1623050698630
2021-06-07 07:29:46,8.522623163347754e-06,4215742377.5425544,350841042.3495052,1623050986377
2021-06-07 07:34:44,8.546494486226597e-06,4241754401.047182,351989194.36378855,1623051284271
2021-06-07 07:39:42,8.577706460938998e-06,4241754401.047182,353629219.1799007,1623051582588
2021-06-07 07:44:27,8.565643817393219e-06,4270602744.1698694,353171267.8050217,1623051867635
2021-06-07 07:50:00,8.565988158506337e-06,4270602744.1698694,353180715.4852815,1623052200344
2021-06-07 07:54:53,8.543894537761675e-06,4263557566.2778826,352790078.01365054,1623052493129
2021-06-07 08:00:04,8.515510718288812e-06,4263557566.2778826,351704894.5676689,1623052804567
2021-06-07 08:04:36,8.548909456336727e-06,4238433381.1653857,352910055.3926986,1623053076266
2021-06-07 08:09:49,8.545283762504286e-06,4238433381.1653857,353001728.63019,1623053389387
2021-06-07 08:14:24,8.544781975549653e-06,4253252347.2422833,353022822.8547718,1623053664615
2021-06-07 08:19:58,8.51342621051436e-06,4253252347.2422833,351508250.9432624,1623053998070
2021-06-07 08:24:57,8.499695410506932e-06,4237472566.4327292,351022312.21354073,1623054297121
2021-06-07 08:30:09,8.484291312710757e-06,4237472566.4327292,350651909.1549424,1623054609546
2021-06-07 08:34:52,8.513390511284645e-06,4222894516.2493944,351863429.44274575,1623054892553
2021-06-07 08:39:56,8.51117406202594e-06,4222894516.2493944,353084870.21152574,1623055196469
2021-06-07 08:44:57,8.496042199148992e-06,4236130726.1341314,353527754.5141236,1623055497139
2021-06-07 08:47:50,8.49551655010992e-06,4236130726.1341314,353620180.036033,1623055670848
2021-06-07 08:52:16,8.495816679689357e-06,4228631048.296423,353835927.0550621,1623055936904
2021-06-07 09:00:06,8.501792529665572e-06,4228631048.296423,353798207.2137445,1623056406791
2021-06-07 09:05:02,8.497253420756981e-06,4229391732.4476995,353456358.1863455,1623056702963
2021-06-07 09:10:51,8.477149934873372e-06,4229391732.4476995,352652906.9683327,1623057051102
2021-06-07 09:14:39,8.490903744085444e-06,4219340031.3553195,353061174.9061535,1623057279287
2021-06-07 09:19:46,8.499022536048258e-06,4219340031.3553195,353304960.1525725,1623057586152
2021-06-07 09:24:51,8.49722167111691e-06,4230100368.878015,355101198.2716794,1623057891480
2021-06-07 09:29:53,8.50328558731165e-06,4230100368.878015,355229682.34441507,1623058193019
2021-06-07 09:34:58,8.506271003361663e-06,4232765013.82694,355907895.8146271,1623058498603
2021-06-07 09:40:27,8.519108334476494e-06,4240101214.2450976,356633941.9909137,1623058827397
2021-06-07 09:44:37,8.516400729537245e-06,4240101214.2450976,356588725.1667586,1623059077509
2021-06-07 09:49:47,8.502976901095393e-06,4240101214.2450976,356206058.1028921,1623059387683
2021-06-07 09:54:10,8.491079200176105e-06,4232084628.638062,355706720.85747534,1623059650665
2021-06-07 09:59:36,8.489734338206975e-06,4232084628.638062,355849753.4178677,1623059976524
2021-06-07 10:04:38,8.515114663700312e-06,4221678502.3314753,356793278.9274382,1623060278234
2021-06-07 10:11:02,8.553812618887829e-06,4221678502.3314753,358011922.0916467,1623060662618
2021-06-07 10:15:07,8.554197773384913e-06,4221678502.3314753,358485456.88837576,1623060907833
2021-06-07 10:20:53,8.563996049606089e-06,4257000660.0336757,359211956.5633698,1623061253579
2021-06-07 10:23:23,8.563369778096399e-06,4262566031.9893293,359260579.5771703,1623061403194
2021-06-07 10:29:12,8.57842441055202e-06,4262566031.9893293,359872651.7657427,1623061752831
2021-06-07 10:34:38,8.587994758830255e-06,4273139482.328378,361242472.72703224,1623062078204
2021-06-07 10:39:52,8.565852266339796e-06,4273139482.328378,360827874.0136001,1623062392432
2021-06-07 10:44:55,8.555317068153981e-06,4255863446.3513985,360529051.5340071,1623062695447
2021-06-07 10:50:23,8.55909506858687e-06,4255863446.3513985,360232292.07138383,1623063023191
2021-06-07 10:54:45,8.560126297357002e-06,4260126661.969196,360743092.6443146,1623063285361
2021-06-07 10:59:48,8.586334031812614e-06,4260126661.969196,362028935.10683864,1623063588733
2021-06-07 11:04:37,8.585805453676973e-06,4274078374.964769,361865746.9867059,1623063877186
2021-06-07 11:11:02,8.547625782011418e-06,4274078374.964769,360530318.7288023,1623064262172
2021-06-07 11:14:41,8.566054540763079e-06,4254418042.8754354,361244796.15880257,1623064481273
2021-06-07 11:19:47,8.546142374476386e-06,4254418042.8754354,360336827.2882805,1623064787641
2021-06-07 11:24:08,8.56866047814815e-06,4253695885.5480146,361269818.50671077,1623065048782
2021-06-07 11:29:40,8.561989306362178e-06,4253695885.5480146,360640566.76557124,1623065380299
