,prices_usd,market_caps,total_volumes,unix_timestamp
2021-05-27 07:33:53,8.932156065777836e-06,4439222584.31705,783903115.5803239,1622100833683
2021-05-27 07:38:12,8.95426202272067e-06,4439222584.31705,785571574.063844,1622101092415
2021-05-27 07:44:04,8.94538563843867e-06,4460326023.034114,783400299.9809333,1622101444144
2021-05-27 07:49:43,8.957279261030264e-06,4460326023.034114,783970020.8259399,1622101783672
2021-05-27 07:52:49,8.981620942118784e-06,4458315264.97099,780658450.6779298,1622101969112
2021-05-27 07:58:10,8.976286785056987e-06,4458315264.97099,778567275.4610641,1622102290764
2021-05-27 08:00:55,8.972146452119408e-06,4465715126.362868,778498670.0237079,1622102455488
2021-05-27 08:08:38,8.864013672479714e-06,4465715126.362868,767458888.3310115,1622102918452
2021-05-27 08:13:52,8.927788102609268e-06,4411894093.428372,768905861.5383722,1622103232651
2021-05-27 08:18:25,8.9355137745316e-06,4411894093.428372,762942857.7083783,1622103505868
2021-05-27 08:24:13,8.929591987587786e-06,4447481908.336829,758622724.9571592,1622103853533
2021-05-27 08:27:45,8.902097318295845e-06,4447481908.336829,756287437.266307,1622104065912
2021-05-27 08:33:31,9.01314896887244e-06,4436178317.633242,764167343.1613849,1622104411657
2021-05-27 08:39:03,9.060977308807027e-06,4436178317.633242,761061477.9719354,1622104743306
2021-05-27 08:43:46,9.07174166782214e-06,4509928994.528604,761564984.2041881,1622105026662
2021-05-27 08:48:57,9.053890465699203e-06,4509928994.528604,758867690.7407789,1622105337414
2021-05-27 08:54:20,9.088004510582922e-06,4506401653.258188,761361970.1144226,1622105660918
2021-05-27 08:59:19,9.109310988266172e-06,4506401653.258188,763324125.4484193,1622105959649
2021-05-27 09:02:24,9.096446965254632e-06,4533986163.5266075,762327971.5417507,1622106144629
2021-05-27 09:10:06,9.156115260705662e-06,4533986163.5266075,759925199.6406215,1622106606581
2021-05-27 09:15:03,9.155191279599857e-06,4557282099.290347,759855661.3344294,1622106903768
2021-05-27 09:18:33,9.154719043694543e-06,4557282099.290347,759633627.1740439,1622107113251
2021-05-27 09:23:38,9.177179235127147e-06,4557584616.445705,761081956.2042781,1622107418419
2021-05-27 09:28:23,9.19980832574019e-06,4557584616.445705,763129646.377042,1622107703274
2021-05-27 09:34:22,9.164193335564811e-06,4574779546.82569,759912816.3694274,1622108062421
2021-05-27 09:39:24,9.129881302372058e-06,4574779546.82569,757198999.3808411,1622108364691
2021-05-27 09:44:12,9.113735954090142e-06,4544224645.850421,755368071.8093755,1622108652577
2021-05-27 09:48:52,9.100238594369865e-06,4544224645.850421,753769588.3776814,1622108932503
2021-05-27 09:53:37,9.053948330140262e-06,4529470552.142946,750900686.307943,1622109217102
2021-05-27 09:57:05,9.058245977179272e-06,4529470552.142946,751242011.1234621,1622109425427
2021-05-27 10:04:39,9.097730564973796e-06,4517529663.631327,753770889.9795134,1622109879168
2021-05-27 10:08:08,9.066261964228793e-06,4517529663.631327,750593472.0303591,1622110088948
2021-05-27 10:14:23,9.075000461193086e-06,4517529663.631327,748978181.175381,1622110463948
2021-05-27 10:19:27,9.152598768731504e-06,4516908751.7209215,752847530.3831207,1622110767223
2021-05-27 10:22:44,9.133849929438898e-06,4555531832.340901,750697361.7152243,1622110964535
2021-05-27 10:28:15,9.104830608348536e-06,4555531832.340901,747860069.5481771,1622111295352
2021-05-27 10:35:03,9.099600741257096e-06,4530330380.960178,737250996.4851403,1622111703675
2021-05-27 10:39:59,9.06726550093966e-06,4530330380.960178,732421656.4785626,1622111999080
2021-05-27 10:42:57,9.045758957173139e-06,4513058822.477137,729671036.5610917,1622112177876
2021-05-27 10:48:22,9.058955051006353e-06,4513058822.477137,729721355.8525844,1622112502236
2021-05-27 10:53:47,9.05407054248563e-06,4511275354.848306,728908387.1326094,1622112827579
2021-05-27 10:59:54,9.040312492869868e-06,4511275354.848306,726873557.2839155,1622113194378
2021-05-27 11:04:25,9.057496621128677e-06,4499643475.716962,727510884.2467734,1622113465628
2021-05-27 11:08:38,9.096964143067008e-06,4499643475.716962,730039005.8760316,1622113718410
2021-05-27 11:12:15,9.088757006079878e-06,4527840756.330791,729457933.0383703,1622113935473
2021-05-27 11:19:58,9.129125789185173e-06,4527840756.330791,726822362.7922318,1622114398590
2021-05-27 11:25:05,9.15109394568253e-06,4543848603.541611,727969203.5766186,1622114705495
2021-05-27 11:29:54,9.159477778736557e-06,4543848603.541611,727470128.147659,1622114994897
2021-05-27 11:33:19,9.164882809699874e-06,4558955728.640177,727754293.7774144,1622115199495
2021-05-27 11:38:12,9.144345562809322e-06,4558955728.640177,726028181.0519269,1622115492784
2021-05-27 11:43:13,9.106921891230063e-06,4542314194.027418,721005370.9267021,1622115793393
2021-05-27 11:48:33,9.107661766440836e-06,4542314194.027418,720763536.4726254,1622116113129
2021-05-27 11:53:54,9.109178101364916e-06,4532892999.014808,720608013.3450351,1622116434945
2021-05-27 11:58:58,9.122681611871622e-06,4532892999.014808,721330059.2966,1622116738475
2021-05-27 12:01:37,9.146022106178328e-06,4552258423.731107,722882285.9525371,1622116897135
2021-05-27 12:08:55,9.201609203834882e-06,4552258423.731107,725320784.0901266,1622117335093
2021-05-27 12:13:25,9.179313798459883e-06,4579925843.579882,723552263.9294559,1622117605718
2021-05-27 12:18:17,9.133763533184498e-06,4579925843.579882,719355881.9923245,1622117897281
2021-05-27 12:23:42,9.101105529793645e-06,4546156952.345379,716401935.0656533,1622118222919
2021-05-27 12:28:29,9.074915486290657e-06,4546156952.345379,713850609.2893964,1622118509404
2021-05-27 12:34:56,9.108668109496178e-06,4521616251.010627,715085870.4775724,1622118896813
2021-05-27 12:38:09,9.10327115015494e-06,4521616251.010627,714239495.4711803,1622119089853
2021-05-27 12:44:56,9.030225157450296e-06,4530979949.065212,709054000.7290269,1622119496314
2021-05-27 12:48:25,8.952951941583657e-06,4530979949.065212,704410080.2404997,1622119705837
2021-05-27 12:53:52,8.936361714614364e-06,4456161424.079912,708119262.0816175,1622120032258
2021-05-27 12:57:09,8.942737542583886e-06,4456161424.079912,708761126.1505619,1622120229924
2021-05-27 13:03:58,8.91476242620739e-06,4436200120.644259,706894623.1622221,1622120638802
2021-05-27 13:09:27,8.966206855972684e-06,4436200120.644259,709065128.8531736,1622120967439
2021-05-27 13:14:11,9.000207134384526e-06,4462758805.431365,706911046.3672687,1622121251200
2021-05-27 13:19:15,9.028860872120244e-06,4462758805.431365,708576403.7219081,1622121555490
2021-05-27 13:22:11,9.050949383814007e-06,4493943649.451767,706971150.9982591,1622121731906
2021-05-27 13:28:22,9.102480407854357e-06,4493943649.451767,706563842.677526,1622122102234
2021-05-27 13:34:55,9.14872921007315e-06,4552822077.213293,707221326.600983,1622122495982
2021-05-27 13:38:01,9.184964633645984e-06,4552822077.213293,701258676.5012319,1622122681290
2021-05-27 13:43:55,9.089205390196635e-06,4539497937.809101,691581871.0153443,1622123035030
2021-05-27 13:49:46,9.0579376197882e-06,4539497937.809101,685608562.7965413,1622123386049
2021-05-27 13:54:14,9.069213528653505e-06,4508416047.175007,684387117.6753421,1622123654753
2021-05-27 13:59:17,9.033509563718943e-06,4508416047.175007,681192421.0176677,1622123957387
2021-05-27 14:01:37,9.01099559370308e-06,4485051547.156072,674559368.9782162,1622124097276
2021-05-27 14:08:23,9.056781089650935e-06,4485051547.156072,674936448.8910081,1622124503967
2021-05-27 14:15:02,9.072066180853865e-06,4507840406.311849,673471167.129707,1622124902018
2021-05-27 14:17:52,9.071840822442572e-06,4507840406.311849,673511267.2142632,1622125072230
2021-05-27 14:24:05,9.084782386164639e-06,4514676631.690188,673986481.2530973,1622125445064
2021-05-27 14:29:53,9.097206233888898e-06,4514676631.690188,668727500.7266752,1622125793442
2021-05-27 14:32:57,9.089164399328729e-06,4527961252.429584,667804173.5166268,1622125977713
2021-05-27 14:38:44,9.063061442013554e-06,4527961252.429584,664402493.6397973,1622126324833
2021-05-27 14:42:20,9.055932779543115e-06,4510966332.164075,663336405.4164593,1622126540325
2021-05-27 14:49:32,9.00668384187918e-06,4510966332.164075,658539207.6837755,1622126972849
2021-05-27 14:52:51,8.997675440061538e-06,4482905454.752891,657865153.3738633,1622127171000
2021-05-27 15:00:16,9.009188023491977e-06,4482905454.752891,658017639.3283684,1622127616480
2021-05-27 15:09:46,8.977987014360404e-06,4484151863.487646,654442754.7556787,1622128186360
2021-05-27 15:13:30,8.987179333235225e-06,4473197456.811884,654638973.710341,1622128410342
2021-05-27 15:19:12,8.959023242392482e-06,4473197456.811884,652073140.0702211,1622128752773
2021-05-27 15:24:51,8.910554878310994e-06,4459183298.500193,650022956.7167916,1622129091778
2021-05-27 15:28:49,8.897234990544865e-06,4459183298.500193,649145006.8926432,1622129329064
2021-05-27 15:31:32,8.895923436959305e-06,4427776571.347747,648787875.3633026,1622129492543
2021-05-27 15:39:12,8.889759444159543e-06,4427776571.347747,647262832.6728886,1622129952844
2021-05-27 15:44:45,8.858227178913101e-06,4424708561.253219,644977446.4519273,1622130285984
2021-05-27 15:47:07,8.90862511873858e-06,4424708561.253219,646987476.461778,1622130427646
2021-05-27 15:53:46,8.926813721812194e-06,4442761172.861036,647066168.3505424,1622130826228
2021-05-27 15:59:01,8.932631757611203e-06,4442761172.861036,647356501.2377222,1622131141408
2021-05-27 16:01:50,8.94339446545001e-06,4451404372.245365,647727430.2730541,1622131310353
2021-05-27 16:09:14,8.775766178941853e-06,4451404372.245365,638668128.9995248,1622131754313
2021-05-27 16:14:28,8.753889178532698e-06,4367970583.167063,637525334.5307678,1622132068994
2021-05-27 16:19:57,8.80000440375155e-06,4367970583.167063,638428596.8289506,1622132397654
